# l species scattering_weight beta_l
177 organic_carbon   2.729556486e-01 3.517679854e-12
178 organic_carbon   2.729556486e-01 1.525462211e-12
179 organic_carbon   2.729556486e-01 5.093834425e-13
180 organic_carbon   2.729556486e-01 7.581359585e-14
181 organic_carbon   2.729556486e-01 -1.123825967e-13
182 organic_carbon   2.729556486e-01 -1.857970158e-13
183 organic_carbon   2.729556486e-01 -1.879292078e-13
184 organic_carbon   2.729556486e-01 -1.792116260e-13
185 organic_carbon   2.729556486e-01 -1.401802936e-13
186 organic_carbon   2.729556486e-01 -1.119197508e-13
187 organic_carbon   2.729556486e-01 -9.788312738e-14
188 organic_carbon   2.729556486e-01 -9.764899393e-14
189 organic_carbon   2.729556486e-01 -8.955840626e-14
190 organic_carbon   2.729556486e-01 -9.490536612e-14
191 organic_carbon   2.729556486e-01 -1.103317741e-13
192 organic_carbon   2.729556486e-01 -1.311735551e-13
193 organic_carbon   2.729556486e-01 -1.048860705e-13
194 organic_carbon   2.729556486e-01 -8.723994834e-14
195 organic_carbon   2.729556486e-01 -8.822898467e-14
196 organic_carbon   2.729556486e-01 -1.013884614e-13
197 organic_carbon   2.729556486e-01 -1.008123706e-13
198 organic_carbon   2.729556486e-01 -1.087907433e-13
199 organic_carbon   2.729556486e-01 -1.244472461e-13
200 organic_carbon   2.729556486e-01 -1.539720500e-13
201 organic_carbon   2.729556486e-01 -1.658162540e-13
202 organic_carbon   2.729556486e-01 -1.872879293e-13
203 organic_carbon   2.729556486e-01 -1.845392329e-13
204 organic_carbon   2.729556486e-01 -1.969089496e-13
205 organic_carbon   2.729556486e-01 -1.921346383e-13
206 organic_carbon   2.729556486e-01 -2.048684844e-13
207 organic_carbon   2.729556486e-01 -1.940383076e-13
208 organic_carbon   2.729556486e-01 -1.916391037e-13
209 organic_carbon   2.729556486e-01 -1.421898623e-13
210 organic_carbon   2.729556486e-01 -1.062100034e-13
211 organic_carbon   2.729556486e-01 -1.020767943e-13
212 organic_carbon   2.729556486e-01 -1.306731280e-13
213 organic_carbon   2.729556486e-01 -1.904999189e-13
214 organic_carbon   2.729556486e-01 -2.589687091e-13
215 organic_carbon   2.729556486e-01 -2.427314602e-13
216 organic_carbon   2.729556486e-01 -2.397999334e-13
217 organic_carbon   2.729556486e-01 -2.459805024e-13
218 organic_carbon   2.729556486e-01 -2.842940964e-13
219 organic_carbon   2.729556486e-01 -3.008260856e-13
220 organic_carbon   2.729556486e-01 -3.341455988e-13
0 utls_sulfate     2.094333838e-02 1.000000000e+00
1 utls_sulfate     2.094333838e-02 1.973285374e+00
2 utls_sulfate     2.094333838e-02 1.995736942e+00
3 utls_sulfate     2.094333838e-02 1.437599810e+00
4 utls_sulfate     2.094333838e-02 9.231531532e-01
5 utls_sulfate     2.094333838e-02 5.197529582e-01
6 utls_sulfate     2.094333838e-02 2.877925037e-01
7 utls_sulfate     2.094333838e-02 1.465928016e-01
8 utls_sulfate     2.094333838e-02 7.843150809e-02
9 utls_sulfate     2.094333838e-02 3.783972925e-02
10 utls_sulfate     2.094333838e-02 2.081828907e-02
11 utls_sulfate     2.094333838e-02 9.550763542e-03
12 utls_sulfate     2.094333838e-02 5.660397371e-03
13 utls_sulfate     2.094333838e-02 2.426696153e-03
14 utls_sulfate     2.094333838e-02 1.614828707e-03
15 utls_sulfate     2.094333838e-02 6.297440466e-04
16 utls_sulfate     2.094333838e-02 4.863756366e-04
17 utls_sulfate     2.094333838e-02 1.665893662e-04
18 utls_sulfate     2.094333838e-02 1.531958180e-04
19 utls_sulfate     2.094333838e-02 4.572355830e-05
20 utls_sulfate     2.094333838e-02 5.215178434e-05
21 utls_sulfate     2.094333838e-02 1.364940192e-05
22 utls_sulfate     2.094333838e-02 1.825306433e-05
23 utls_sulfate     2.094333838e-02 3.287246837e-06
24 utls_sulfate     2.094333838e-02 5.931786388e-06
25 utls_sulfate     2.094333838e-02 1.235231709e-06
26 utls_sulfate     2.094333838e-02 2.052440632e-06
27 utls_sulfate     2.094333838e-02 5.269924378e-07
28 utls_sulfate     2.094333838e-02 8.242654700e-07
29 utls_sulfate     2.094333838e-02 2.685627599e-07
30 utls_sulfate     2.094333838e-02 3.639139686e-07
31 utls_sulfate     2.094333838e-02 1.306101065e-07
32 utls_sulfate     2.094333838e-02 1.493182014e-07
33 utls_sulfate     2.094333838e-02 3.468140179e-08
34 utls_sulfate     2.094333838e-02 7.995869364e-08
35 utls_sulfate     2.094333838e-02 3.003756568e-08
36 utls_sulfate     2.094333838e-02 5.507729141e-08
37 utls_sulfate     2.094333838e-02 9.082581733e-09
38 utls_sulfate     2.094333838e-02 1.017558195e-08
39 utls_sulfate     2.094333838e-02 4.501095665e-09
40 utls_sulfate     2.094333838e-02 9.267675336e-09
41 utls_sulfate     2.094333838e-02 1.769765203e-09
42 utls_sulfate     2.094333838e-02 2.143624848e-09
43 utls_sulfate     2.094333838e-02 1.194061726e-09
44 utls_sulfate     2.094333838e-02 1.443388436e-09
45 utls_sulfate     2.094333838e-02 5.850843963e-10
46 utls_sulfate     2.094333838e-02 6.516969097e-10
47 utls_sulfate     2.094333838e-02 1.979584801e-10
48 utls_sulfate     2.094333838e-02 2.849005403e-10
49 utls_sulfate     2.094333838e-02 1.606118920e-10
50 utls_sulfate     2.094333838e-02 2.285023464e-10
51 utls_sulfate     2.094333838e-02 8.698293398e-11
52 utls_sulfate     2.094333838e-02 7.125390772e-11
53 utls_sulfate     2.094333838e-02 2.774428365e-11
54 utls_sulfate     2.094333838e-02 3.969882702e-11
55 utls_sulfate     2.094333838e-02 9.391066050e-12
56 utls_sulfate     2.094333838e-02 3.491711076e-11
57 utls_sulfate     2.094333838e-02 7.217489410e-12
58 utls_sulfate     2.094333838e-02 9.946958296e-12
59 utls_sulfate     2.094333838e-02 4.114372254e-12
60 utls_sulfate     2.094333838e-02 7.560889631e-12
61 utls_sulfate     2.094333838e-02 2.613087806e-12
62 utls_sulfate     2.094333838e-02 2.858011137e-12
63 utls_sulfate     2.094333838e-02 1.554644217e-12
64 utls_sulfate     2.094333838e-02 1.746933327e-12
65 utls_sulfate     2.094333838e-02 9.084411825e-13
66 utls_sulfate     2.094333838e-02 1.069840397e-12
67 utls_sulfate     2.094333838e-02 5.139687504e-13
68 utls_sulfate     2.094333838e-02 6.154725167e-13
69 utls_sulfate     2.094333838e-02 2.748089300e-13
